K,Silhouette Score,Silhouette Change (%),Davies-Bouldin Index,DB Change (%),Combined Score,Combined Change (%)
40,0.34138542,0.0,1.1768092955807599,0.0,0.29009409206666786,0.0
41,0.35275978,0.03331821784377098,1.0950260525649247,0.06949574865099517,0.3221473842319272,0.1104927437056974
42,0.34976137,0.008499868214130402,1.1541589450053162,0.054001356681772215,0.3030443669459809,0.05929899859808645
43,0.35152033,0.00502903712913394,1.132947959136339,0.01837787244189282,0.31027049996346695,0.023845132283135718
44,0.3564152,0.013924891129136086,1.1656542108026342,0.028868273606519106,0.3057641012671946,0.014524096544154052
45,0.35766438,0.003504800843074918,1.0714513719380585,0.0808154236406957,0.33381298103181256,0.09173372429390328
46,0.3550901,0.00719743175432086,1.1200436297197047,0.045351808821479,0.31703239237468545,0.05026943112055884
47,0.3502133,0.013734040781855583,1.1637159336943725,0.038991609626490155,0.3009439667540386,0.05074694576203648
48,0.37207636,0.06242787837982178,1.0798467033922787,0.07207019159378499,0.3445640582154739,0.1449442297578472
49,0.36518788,0.018513616174459457,1.0683317249993505,0.010663530625925502,0.34183004663396777,0.007934697529585158
50,0.3731702,0.021858101710677147,1.0990342655584324,0.028738770777494805,0.33954373280657274,0.006688451907339832
51,0.37729508,0.011053615249693394,1.082735083006746,0.014830458942428595,0.3484648117241489,0.026273725754962493
52,0.37600234,0.0034263243433088064,1.0303634195961462,0.04836978521575571,0.36492205988469634,0.047227862346041705
53,0.38156104,0.014783683232963085,1.0745724525258507,0.04290625238523347,0.3550817257425616,0.026965577650317946
54,0.38359493,0.005330442916601896,1.0523765874570215,0.020655531431739586,0.3645034816850982,0.02653404909203218
55,0.3752557,0.021739667281508446,1.0250285302429853,0.02598694948176333,0.36609293581041225,0.004360600666874255
56,0.3821052,0.01825288124382496,1.0161366818954476,0.008674732541766348,0.37603720866568263,0.02716324704069189
57,0.38260576,0.0013100052019581199,1.021405489074847,0.005185136284590393,0.37458753196651345,0.0038551416342897564
58,0.3798506,0.007201055064797401,1.0519404082181003,0.02989500200445447,0.36109516586869617,0.036019261044234245
59,0.38987362,0.026386763900518417,1.0261591373738876,0.024508299750443087,0.37993485576293073,0.052173752725023136
60,0.39053693,0.001701346947811544,1.0193483785266761,0.006637137066908904,0.38312410395139906,0.008394197426461804
